,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00209781,-2.75103,-0.0183402
-0.00209723,-2.75103,-0.0183402
-0.00209665,-2.75103,-0.0183402
-0.00209607,-2.75103,-0.0183402
-0.00209549,-2.75103,-0.0183402
-0.00209491,-2.75103,-0.0183402
-0.00209433,-2.75103,-0.0183402
-0.00209375,-2.75103,-0.0183402
-0.00209317,-2.75103,-0.0183402
-0.00209259,-2.75103,-0.0183402
-0.00209201,-2.75103,-0.0183402
-0.00209143,-2.75103,-0.0183402
-0.00209085,-2.75103,-0.0183402
-0.00209027,-2.75103,-0.0183402
-0.00208969,-2.75103,-0.0183402
-0.00208911,-2.75103,-0.0183402
-0.00208853,-2.75103,-0.0183402
-0.00208795,-2.75103,-0.0183402
-0.00208737,-2.75103,-0.0183402
-0.00208679,-2.75103,-0.0183402
-0.00208621,-2.75103,-0.0183402
-0.00208563,-2.75103,-0.0183402
-0.00208505,-2.75103,-0.0183402
-0.00208447,-2.75103,-0.0183402
-0.00208389,-2.75103,-0.0183402
-0.00208331,-2.75103,-0.0183402
-0.00208273,-2.75103,-0.0183402
-0.00208215,-2.75103,-0.0183402
-0.00208157,-2.75103,-0.0183402
-0.00208099,-2.75103,-0.0183402
-0.00208041,-2.75103,-0.0183402
-0.00207983,-2.75103,-0.0183402
-0.00207925,-2.75103,-0.0183402
-0.00207867,-2.75103,-0.0183402
-0.00207809,-2.75103,-0.0183402
-0.00207751,-2.75103,-0.0183402
-0.00207693,-2.75103,-0.0183402
-0.00207635,-2.75103,-0.0183402
-0.00207577,-2.75103,-0.0183402
-0.00207519,-2.75103,-0.0183402
-0.00207461,-2.75103,-0.0183402
-0.00207403,-2.75103,-0.0183402
-0.00207345,-2.75103,-0.0183402
-0.00207287,-2.75103,-0.0183402
-0.00207229,-2.75103,-0.0183402
-0.00207171,-2.75103,-0.0183402
-0.00207113,-2.75103,-0.0183402
-0.00207055,-2.75103,-0.0183402
-0.00206997,-2.75103,-0.0183402
-0.00206939,-2.75103,-0.0183402
-0.00206881,-2.75103,-0.0183402
-0.00206823,-2.75103,-0.0183402
-0.00206765,-2.75103,-0.0183402
-0.00206707,-2.75103,-0.0183402
-0.00206649,-2.75103,-0.0183402
-0.00206591,-2.75103,-0.0183402
-0.00206533,-2.75103,-0.0183402
-0.00206475,-2.75103,-0.0183402
-0.00206417,-2.75103,-0.0183402
-0.00206359,-2.75103,-0.0183402
-0.00206301,-2.75103,-0.0183402
-0.00206243,-2.75103,-0.0183402
