#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-0.90075,0.825802,0.00175702
-0.9005,0.823113,0.0017513
-0.90025,0.820424,0.00174558
-0.9,0.817735,0.00173986
-0.89975,0.815047,0.00173414
-0.8995,0.812022,0.00172771
-0.89925,0.809333,0.00172199
-0.899,0.806644,0.00171626
-0.89875,0.803956,0.00171054
-0.8985,0.801603,0.00170554
-0.89825,0.798578,0.0016991
-0.898,0.796226,0.0016941
-0.89775,0.793201,0.00168766
-0.8975,0.790512,0.00168194
-0.89725,0.788159,0.00167693
-0.897,0.785135,0.0016705
-0.89675,0.782446,0.00166478
-0.8965,0.779757,0.00165906
-0.89625,0.777068,0.00165334
-0.896,0.77438,0.00164762
-0.89575,0.771691,0.0016419
-0.8955,0.769002,0.00163617
-0.89525,0.766313,0.00163045
-0.895,0.763625,0.00162473
-0.89475,0.760936,0.00161901
-0.8945,0.758583,0.00161401
-0.89425,0.755558,0.00160757
-0.894,0.75287,0.00160185
-0.89375,0.750517,0.00159684
-0.8935,0.747828,0.00159112
-0.89325,0.74514,0.0015854
-0.893,0.742451,0.00157968
-0.89275,0.739762,0.00157396
-0.8925,0.737073,0.00156824
-0.89225,0.734385,0.00156252
-0.892,0.731696,0.0015568
-0.89175,0.729007,0.00155108
-0.8915,0.726318,0.00154536
-0.89125,0.723966,0.00154035
-0.891,0.721277,0.00153463
-0.89075,0.718588,0.00152891
-0.8905,0.7159,0.00152319
-0.89025,0.713547,0.00151818
-0.89,0.710858,0.00151246
-0.88975,0.708169,0.00150674
-0.8895,0.705481,0.00150102
-0.88925,0.702792,0.0014953
-0.889,0.700103,0.00148958
-0.88875,0.697415,0.00148386
-0.8885,0.695062,0.00147886
-0.88825,0.692373,0.00147313
-0.888,0.689684,0.00146741
-0.88775,0.687332,0.00146241
-0.8875,0.684307,0.00145597
-0.88725,0.681954,0.00145097
-0.887,0.679266,0.00144525
-0.88675,0.676577,0.00143953
-0.8865,0.674224,0.00143452
-0.88625,0.671535,0.0014288
-0.886,0.669183,0.00142379
-0.88575,0.666494,0.00141807
-0.8855,0.663805,0.00141235
-0.88525,0.661117,0.00140663
-0.885,0.658428,0.00140091
-0.88475,0.655739,0.00139519
-0.8845,0.65305,0.00138947
-0.88425,0.650698,0.00138446
-0.884,0.648009,0.00137874
-0.88375,0.645656,0.00137374
-0.8835,0.642968,0.00136802
-0.88325,0.640279,0.0013623
-0.883,0.63759,0.00135657
-0.88275,0.634901,0.00135085
-0.8825,0.632549,0.00134585
-0.88225,0.62986,0.00134013
-0.882,0.627171,0.00133441
-0.88175,0.624819,0.0013294
-0.8815,0.62213,0.00132368
-0.88125,0.619441,0.00131796
-0.881,0.616752,0.00131224
-0.88075,0.614064,0.00130652
-0.8805,0.611375,0.0013008
-0.88025,0.608686,0.00129508
-0.88,0.606334,0.00129007
-0.87975,0.603645,0.00128435
-0.8795,0.600956,0.00127863
-0.87925,0.598267,0.00127291
-0.879,0.595579,0.00126719
-0.87875,0.59289,0.00126147
-0.8785,0.590201,0.00125575
-0.87825,0.587849,0.00125074
-0.878,0.58516,0.00124502
-0.87775,0.582135,0.00123859
-0.8775,0.579782,0.00123358
-0.87725,0.576757,0.00122714
-0.877,0.574069,0.00122142
-0.87675,0.57138,0.0012157
-0.8765,0.568691,0.00120998
-0.87625,0.566003,0.00120426
-0.876,0.563314,0.00119854
-0.87575,0.560625,0.00119282
-0.8755,0.557936,0.0011871
-0.87525,0.554912,0.00118066
-0.875,0.552223,0.00117494
-0.87475,0.549198,0.00116851
-0.8745,0.546845,0.0011635
-0.87425,0.54382,0.00115706
-0.874,0.541132,0.00115134
-0.87375,0.538107,0.00114491
-0.8735,0.535418,0.00113919
-0.87325,0.532393,0.00113275
-0.873,0.529369,0.00112632
-0.87275,0.52668,0.0011206
-0.8725,0.523655,0.00111416
-0.87225,0.520966,0.00110844
-0.872,0.517605,0.00110129
-0.87175,0.514917,0.00109557
-0.8715,0.511892,0.00108913
-0.87125,0.508867,0.0010827
-0.871,0.505842,0.00107626
-0.87075,0.502817,0.00106982
-0.8705,0.499456,0.00106267
-0.87025,0.496431,0.00105624
-0.87,0.493071,0.00104909
-0.86975,0.490046,0.00104265
-0.8695,0.487021,0.00103621
-0.86925,0.483324,0.00102835
-0.869,0.479963,0.0010212
-0.86875,0.476938,0.00101476
-0.8685,0.473241,0.0010069
-0.86825,0.469544,0.00099903
-0.868,0.465847,0.000991164
-0.86775,0.46215,0.000983298
-0.8675,0.458453,0.000975432
-0.86725,0.45442,0.000966851
-0.867,0.450387,0.00095827
-0.86675,0.446018,0.000948974
-0.8665,0.441649,0.000939678
-0.86625,0.436943,0.000929666
-0.866,0.431902,0.00091894
-0.86575,0.426524,0.000907499
-0.8655,0.420475,0.000894627
-0.86525,0.413753,0.000880325
-0.865,0.405351,0.000862448
-0.86475,0.393587,0.00083742
-0.8645,0.339477,0.000722291
-0.86425,0.0017041,3.63E-06
-0.864,-0.000312449,-6.65E-07
-0.86375,-0.000312449,-6.65E-07
-0.8635,-0.000312449,-6.65E-07
-0.86325,-0.000312449,-6.65E-07
-0.863,-0.000312449,-6.65E-07
-0.86275,-0.000312449,-6.65E-07
-0.8625,-0.000312449,-6.65E-07
-0.86225,-0.000312449,-6.65E-07
-0.862,-0.000312449,-6.65E-07
-0.86175,-0.000312449,-6.65E-07
-0.8615,-0.000312449,-6.65E-07
-0.86125,-0.000312449,-6.65E-07
-0.861,-0.000312449,-6.65E-07
-0.86075,-0.000312449,-6.65E-07
-0.8605,-0.000312449,-6.65E-07
-0.86025,-0.000312449,-6.65E-07
-0.86,-0.000312449,-6.65E-07
-0.85975,-0.000312449,-6.65E-07
-0.8595,-0.000312449,-6.65E-07
-0.85925,-0.000312449,-6.65E-07
-0.859,-0.000312449,-6.65E-07
-0.85875,-0.000312449,-6.65E-07
-0.8585,-0.000312449,-6.65E-07
-0.85825,-0.000312449,-6.65E-07
-0.858,-0.000312449,-6.65E-07
-0.85775,-0.000312449,-6.65E-07
